Wall time,Step,Value
1636817591.5829093,27900,-0.1899999976158142
1636817883.6136534,106020,-0.18000000715255737
1636818342.598049,228780,-0.03999999910593033
1636818488.134047,267840,-0.07000000029802322
1636818509.1745338,273420,-0.05999999865889549
1636818802.291558,351540,-0.07999999821186066
1636818823.6671934,357120,-0.05000000074505806
1636818991.333442,401760,-0.07999999821186066
1636819117.1836646,435240,-0.03999999910593033
1636819223.0831573,463140,-0.05999999865889549
1636819370.7550042,502200,-0.12999999523162842
1636819581.4873552,558000,-0.10999999940395355
1636819666.0803168,580320,-0.10000000149011612
1636819751.0111704,602640,-0.09000000357627869
1636820046.2863781,680760,-0.11999999731779099
1636820193.4986308,719820,-0.15000000596046448
1636820235.7580247,730980,-0.14000000059604645
1636820530.4857783,809100,-0.2199999988079071
1636820594.0182624,825840,-0.09000000357627869
1636820803.7069485,881640,-0.11999999731779099
1636820866.9901104,898380,-0.09000000357627869
1636820909.3980956,909540,-0.11999999731779099
1636820951.8244243,920700,-0.12999999523162842
1636821119.4959214,965340,-0.20000000298023224
1636821522.0201943,1071360,-0.14000000059604645
1636821775.6921139,1138320,-0.23999999463558197
1636821818.3884714,1149480,-0.12999999523162842
1636822325.2723546,1283400,-0.12999999523162842
1636822644.2565222,1367100,-0.05999999865889549
1636822665.4449105,1372680,-0.07000000029802322
1636822940.6900203,1445220,-0.10000000149011612
1636822961.3333418,1450800,-0.12999999523162842
1636823214.5882738,1517760,-0.05999999865889549
1636823277.9671907,1534500,-0.10000000149011612
1636823446.405826,1579140,-0.10000000149011612
1636823510.2122414,1595880,-0.10999999940395355
1636823721.8679142,1651680,-0.09000000357627869
1636824163.8347933,1768860,-0.019999999552965164
1636824227.9161193,1785600,-0.07999999821186066
1636824291.7877576,1802340,-0.07000000029802322
1636824800.4547434,1936260,-0.07999999821186066
1636825054.108599,2003220,-0.009999999776482582
1636825181.1055925,2036700,-0.11999999731779099
1636825223.1271112,2047860,-0.05999999865889549
1636825477.1234422,2114820,-0.009999999776482582
1636825646.6635237,2159460,0.05999999865889549
1636825731.2951007,2181780,-0.09000000357627869
1636825774.5330384,2192940,-0.07999999821186066
1636825986.1720243,2248740,-0.07000000029802322
1636826028.548329,2259900,-0.019999999552965164
1636826260.730281,2321280,0.029999999329447746
1636826408.7569127,2360340,-0.019999999552965164
1636826704.8320138,2438460,-0.07000000029802322
1636826725.811458,2444040,-0.029999999329447746
1636826768.9213645,2455200,-0.07999999821186066
1636826917.8378496,2494260,-0.10000000149011612
1636827235.0897517,2577960,-0.10999999940395355
1636827319.8637726,2600280,-0.09000000357627869
1636827509.7776873,2650500,-0.07999999821186066
1636827531.4379096,2656080,-0.05999999865889549
1636827637.1345475,2683980,-0.11999999731779099
1636827658.5217032,2689560,-0.10999999940395355
1636827785.0701976,2723040,-0.05999999865889549
1636828270.0672383,2851380,-0.07999999821186066
1636828312.3938959,2862540,-0.10999999940395355
1636828333.5348978,2868120,-0.14000000059604645
1636828354.8554828,2873700,-0.10000000149011612
1636828417.8002856,2890440,-0.029999999329447746
1636828754.085094,2979720,-0.1599999964237213
1636828817.0042312,2996460,-0.07999999821186066
1636828859.293077,3007620,-0.07000000029802322
1636828900.7523153,3018780,-0.10999999940395355
1636829027.5286314,3052260,-0.10999999940395355
1636829154.9023368,3085740,-0.07999999821186066
1636829239.7479734,3108060,-0.12999999523162842
1636829367.6596744,3141540,-0.10999999940395355
1636829409.262017,3152700,-0.12999999523162842
1636829494.4326756,3175020,-0.05999999865889549
1636829959.4529462,3297780,-0.10999999940395355
1636830044.4618814,3320100,-0.07999999821186066
1636830086.868588,3331260,-0.10999999940395355
1636830655.1302707,3481920,-0.05000000074505806
1636830760.1514044,3509820,-0.07999999821186066
1636830781.4883876,3515400,-0.05999999865889549
1636830951.333574,3560040,-0.09000000357627869
1636831077.7808716,3593520,-0.10999999940395355
1636831098.86365,3599100,-0.11999999731779099
1636831395.499791,3677220,-0.05999999865889549
1636831585.9151237,3727440,-0.029999999329447746
1636831754.5897813,3772080,-0.029999999329447746
1636832115.0577276,3866940,-0.029999999329447746
1636832157.5256302,3878100,-0.05000000074505806
1636832728.4762347,4028760,0.029999999329447746
1636832813.6290576,4051080,-0.07999999821186066
1636832941.1624455,4084560,-0.10000000149011612
1636833217.0146,4157100,-0.10000000149011612
1636833640.2102628,4268700,-0.05000000074505806
1636833871.9939744,4330080,-0.05999999865889549
1636833893.657371,4335660,-0.03999999910593033
