Wall time,Step,Value
1658272201.3617566,3016616,-0.029999999329447746
1658272445.3111365,3050072,0.05000000074505806
1658272688.1169581,3083528,-0.07999999821186066
1658272847.9736626,3105832,-0.03999999910593033
1658273084.2906222,3139288,0.019999999552965164
1658273165.3006651,3150440,0.05999999865889549
1658273327.7313902,3172744,-0.07000000029802322
1658274219.6292303,3295416,0.0
1658274383.724249,3317720,0.019999999552965164
1658274462.9176328,3328872,0.03999999910593033
1658275570.8624883,3479424,0.0
1658275767.1188786,3507304,-0.05999999865889549
1658275804.7558417,3512880,0.0
1658276117.3268764,3557488,0.10000000149011612
1658276348.2194967,3590944,0.0
1658276389.2425287,3596520,0.0
1658276929.4292421,3674584,-0.03999999910593033
1658277279.2460306,3724768,0.029999999329447746
1658277582.6062143,3769376,-0.07000000029802322
1658278247.280554,3864168,-0.019999999552965164
1658278323.9381628,3875320,-0.029999999329447746
1658279382.8327775,4025872,-0.03999999910593033
1658279540.6884677,4048176,-0.009999999776482582
1658279782.8772318,4081632,-0.029999999329447746
1658280313.234849,4154120,-0.03999999910593033
1658281118.8766515,4265640,-0.029999999329447746
1658281567.7365382,4326976,0.0
1658281606.3489962,4332552,0.0
1658281847.2862897,4366008,-0.05000000074505806
1658282087.0135775,4399464,0.009999999776482582
1658282731.0977843,4488680,-0.029999999329447746
1658282771.9488935,4494256,-0.05999999865889549
1658282848.2775545,4505408,-0.009999999776482582
1658283315.3036609,4572320,-0.019999999552965164
1658283834.6161036,4644808,-0.03999999910593033
1658284843.2883527,4784208,-0.03999999910593033
1658285205.406812,4834392,-0.05000000074505806
1658285408.4846244,4862272,-0.009999999776482582
1658286013.7309325,4945912,-0.05999999865889549
1658286458.9933915,5007248,-0.05000000074505806
1658286622.2059324,5029552,-0.019999999552965164
1658287756.442562,5191256,0.019999999552965164
1658288222.4867468,5258168,-0.03999999910593033
1658288492.9170523,5297200,-0.12999999523162842
1658290442.2022128,5576000,-0.07000000029802322
1658290557.273202,5592728,-0.07999999821186066
1658290635.6606123,5603880,-0.03999999910593033
1658291063.0963006,5665216,0.0
1658291343.1661675,5704248,-0.029999999329447746
1658291499.9151886,5726552,-0.09000000357627869
1658291576.0760775,5737704,-0.09000000357627869
1658291922.7279432,5787888,-0.05999999865889549
1658292653.3726754,5893832,-0.03999999910593033
1658293198.5195296,5971896,-0.14000000059604645
1658293237.9502602,5977472,-0.10000000149011612
1658293314.7407157,5988624,-0.029999999329447746
1658293470.3192976,6010928,-0.019999999552965164
1658293827.049918,6061112,-0.09000000357627869
1658294292.8300328,6128024,0.0
1658294449.9975607,6150328,-0.07000000029802322
1658294527.2980447,6161480,-0.07000000029802322
1658294645.0964928,6178208,-0.11999999731779099
1658294721.9107466,6189360,-0.07999999821186066
1658294802.211121,6200512,-0.05999999865889549
1658295184.9918344,6256272,0.029999999329447746
1658295340.0361843,6278576,-0.03999999910593033
1658295609.9661407,6317608,-0.05000000074505806
1658295687.4987986,6328760,-0.029999999329447746
1658296147.8251326,6395672,0.05000000074505806
1658296339.880805,6423552,0.019999999552965164
1658296378.7508376,6429128,0.009999999776482582
1658296844.917802,6496040,-0.009999999776482582
1658297235.048021,6551800,-0.03999999910593033
1658297311.9109297,6562952,-0.029999999329447746
1658297618.5127492,6607560,-0.019999999552965164
1658297970.2011082,6657744,-0.019999999552965164
1658298006.2888663,6663320,0.019999999552965164
1658298782.1360567,6774840,-0.029999999329447746
1658298937.8665166,6797144,-0.019999999552965164
1658299209.911997,6836176,-0.029999999329447746
1658300015.783923,6953272,0.0
1658300211.5750034,6981152,-0.05000000074505806
1658300249.0993993,6986728,-0.07999999821186066
1658300326.0726533,6997880,-0.05999999865889549
1658300442.0749943,7014608,-0.05000000074505806
1658300598.78099,7036912,-0.05000000074505806
1658300833.2404218,7070368,-0.09000000357627869
1658300987.5051677,7092672,-0.09000000357627869
1658301179.6937063,7120552,0.009999999776482582
1658301416.2891521,7154008,-0.029999999329447746
1658302033.238445,7243224,-0.009999999776482582
1658302343.7118866,7287832,-0.03999999910593033
1658302962.8558114,7377048,-0.009999999776482582
1658303078.9685853,7393776,-0.07999999821186066
1658303851.2106175,7505296,-0.05999999865889549
1658304428.6136796,7588936,0.029999999329447746
1658304584.2958655,7611240,-0.03999999910593033
1658305008.447653,7672576,-0.03999999910593033
1658305044.2198296,7678152,-0.07000000029802322
1658305198.801664,7700456,-0.07000000029802322
1658306636.9521027,7906768,-0.05999999865889549
1658307449.0615265,8023864,-0.05000000074505806
1658307487.7992973,8029440,-0.029999999329447746
1658308191.0118427,8129808,-0.09000000357627869
1658308229.9193747,8135384,-0.12999999523162842
1658308346.8978124,8152112,-0.009999999776482582
1658308853.2190487,8224600,-0.10000000149011612
1658308930.2644598,8235752,-0.12999999523162842
1658309359.6411533,8297088,-0.05999999865889549
1658309478.888426,8313816,-0.05999999865889549
1658309634.516024,8336120,-0.05999999865889549
1658309947.800119,8380728,-0.009999999776482582
1658310258.7206645,8425336,-0.019999999552965164
1658310373.4871902,8442064,-0.019999999552965164
1658310492.9393182,8458792,-0.03999999910593033
1658310958.436604,8525704,-0.05999999865889549
1658311341.1309686,8581464,0.019999999552965164
1658311730.3980825,8637224,0.0
1658311850.7233725,8653952,0.009999999776482582
1658312392.7198465,8732016,-0.029999999329447746
1658312511.4844553,8748744,-0.009999999776482582
1658312703.9076211,8776624,-0.07000000029802322
1658312822.4931328,8793352,-0.07999999821186066
1658313169.3513892,8843536,-0.07999999821186066
1658313591.8506813,8904872,-0.09000000357627869
1658313789.6728067,8932752,-0.05000000074505806
1658313866.747815,8943904,-0.10999999940395355
1658314830.671947,9077728,-0.05000000074505806
1658315139.4301443,9122336,-0.10000000149011612
1658315218.0044487,9133488,-0.10999999940395355
1658315603.4036305,9189248,-0.05999999865889549
1658315872.5735974,9228280,-0.05000000074505806
1658316487.4513676,9317496,-0.019999999552965164
1658316834.329748,9367680,-0.029999999329447746
1658317071.2042952,9401136,0.009999999776482582
1658317418.3303707,9451320,-0.09000000357627869
1658317726.0939825,9495928,-0.03999999910593033
1658317803.6411688,9507080,-0.029999999329447746
1658317917.1040556,9523808,-0.03999999910593033
1658318071.4881153,9546112,-0.07000000029802322
1658318343.9935708,9585144,-0.07999999821186066
1658318539.8815036,9613024,-0.029999999329447746
1658318807.591163,9652056,-0.029999999329447746
1658319390.3850555,9735696,-0.019999999552965164
1658320542.370324,9902976,-0.07999999821186066
1658320619.6175046,9914128,-0.05000000074505806
1658321086.3275368,9981040,-0.019999999552965164
1658321199.532915,9997768,-0.07000000029802322
1658321513.3580098,10042376,0.009999999776482582
1658322243.679345,10148320,-0.03999999910593033
1658323319.0131197,10304448,-0.07000000029802322
1658323472.1080277,10326752,0.029999999329447746
1658323813.6356175,10376936,0.0
1658324005.3307745,10404816,-0.019999999552965164
1658324082.0163262,10415968,-0.029999999329447746
1658324893.562401,10533064,-0.03999999910593033
1658325312.0693104,10594400,-0.019999999552965164
1658325429.6113582,10611128,-0.05000000074505806
1658325664.092772,10644584,0.029999999329447746
1658325700.3891275,10650160,0.019999999552965164
1658326285.4551234,10733800,-0.019999999552965164
1658326321.721461,10739376,-0.009999999776482582
1658326746.4284973,10800712,-0.09000000357627869
1658326902.2748883,10823016,0.029999999329447746
1658327093.4545436,10850896,0.0
1658327170.011516,10862048,0.019999999552965164
1658327668.5261633,10934536,-0.03999999910593033
1658327710.5920966,10940112,-0.03999999910593033
1658327825.3314254,10956840,-0.07000000029802322
1658327902.7780583,10967992,-0.07000000029802322
1658328324.8397136,11029328,-0.05000000074505806
1658328401.7783587,11040480,-0.009999999776482582
1658328707.0744073,11085088,0.0
1658328746.9590878,11090664,-0.019999999552965164
1658331912.8318055,11547896,-0.09000000357627869
1658332255.8135042,11598080,0.019999999552965164
1658332641.7956083,11653840,-0.03999999910593033
1658333062.3595548,11715176,-0.05000000074505806
1658333408.6218529,11765360,-0.07999999821186066
1658333603.1743166,11793240,-0.07000000029802322
1658333639.9015675,11798816,-0.019999999552965164
1658333796.7378268,11821120,-0.019999999552965164
1658333836.0845733,11826696,-0.05000000074505806
1658334104.583261,11865728,0.019999999552965164
1658334554.1539037,11932640,-0.029999999329447746
1658335710.4018798,12099920,-0.019999999552965164
1658336671.5572298,12239320,-0.029999999329447746
1658337248.2239578,12322960,0.0
1658337478.4607396,12356416,-0.09000000357627869
1658337858.069022,12412176,0.019999999552965164
1658338394.2624187,12490240,-0.03999999910593033
1658338587.8122356,12518120,-0.10000000149011612
1658339086.0817535,12590608,-0.07000000029802322
1658340003.02521,12724432,-0.05999999865889549
1658340927.978753,12858256,-0.05999999865889549
1658341348.9745371,12919592,-0.019999999552965164
1658341464.1899185,12936320,-0.05000000074505806
1658341959.6919096,13008808,-0.09000000357627869
1658342345.3269916,13064568,0.019999999552965164
1658342995.5569692,13159360,-0.019999999552965164
1658344141.3482757,13326640,-0.05000000074505806
1658344294.7873836,13348944,-0.05000000074505806
1658344337.2541928,13354520,-0.05999999865889549
1658344495.0576582,13376824,-0.03999999910593033
1658345948.893076,13588712,-0.10000000149011612
1658346138.5183496,13616592,-0.05000000074505806
1658346641.3381908,13689080,-0.03999999910593033
1658346944.3027537,13733688,-0.05999999865889549
1658347056.9287488,13750416,-0.029999999329447746
1658347819.4054768,13861936,-0.10000000149011612
1658348127.9429407,13906544,-0.07000000029802322
1658348320.6827934,13934424,-0.05000000074505806
1658348512.9663558,13962304,-0.019999999552965164
1658349045.3014617,14040368,-0.09000000357627869
1658349122.1198552,14051520,-0.07000000029802322
1658349462.0644648,14101704,-0.07999999821186066
1658349537.6530843,14112856,-0.10000000149011612
1658350902.7183337,14313592,-0.019999999552965164
1658351337.2488468,14374928,-0.009999999776482582
1658351375.8893185,14380504,-0.05000000074505806
1658351756.025825,14436264,-0.10000000149011612
1658351910.755266,14458568,-0.10000000149011612
1658352178.3786364,14497600,0.009999999776482582
1658352443.07877,14536632,-0.10000000149011612
1658352939.18502,14609120,-0.05000000074505806
1658353244.0055668,14653728,-0.07999999821186066
1658353284.862397,14659304,-0.11999999731779099
1658353552.6297407,14698336,-0.10000000149011612
1658353704.5652456,14720640,-0.10000000149011612
1658353740.2818286,14726216,-0.09000000357627869
1658353856.3516457,14742944,-0.07999999821186066
1658354572.1140828,14848888,0.009999999776482582
1658354881.4055452,14893496,-0.029999999329447746
1658354917.6047614,14899072,-0.05999999865889549
1658355032.0023513,14915800,-0.03999999910593033
1658355298.5647664,14954832,-0.05000000074505806
1658355413.3069575,14971560,-0.07999999821186066
1658355489.5565395,14982712,-0.09000000357627869
1658355602.8635628,14999440,-0.10999999940395355
1658355757.3010943,15021744,-0.05999999865889549
1658356099.9131393,15071928,-0.05000000074505806
1658356328.7663956,15105384,-0.05000000074505806
1658356519.2260206,15133264,-0.05999999865889549
1658356668.368316,15155568,-0.10000000149011612
1658357129.0341578,15222480,-0.03999999910593033
1658357166.0216243,15228056,-0.07999999821186066
1658357317.3992188,15250360,-0.05999999865889549
1658357508.515659,15278240,-0.07000000029802322
1658357544.6844056,15283816,-0.07000000029802322
1658357581.6601233,15289392,-0.029999999329447746
1658358043.5415483,15356304,-0.09000000357627869
1658358080.4031684,15361880,-0.09000000357627869
1658358119.0974574,15367456,-0.10999999940395355
1658358307.6007395,15395336,-0.10000000149011612
1658358498.3055563,15423216,-0.019999999552965164
1658358610.6995049,15439944,-0.029999999329447746
1658358806.9178834,15467824,-0.07999999821186066
1658359002.2348578,15495704,-0.05999999865889549
1658359271.4463987,15534736,-0.09000000357627869
1658360315.0358386,15685288,-0.03999999910593033
1658361152.6122036,15807960,-0.05000000074505806
1658361539.0335422,15863720,0.0
1658362189.5874243,15958512,-0.03999999910593033
1658362227.089554,15964088,-0.05999999865889549
1658362958.4095376,16070032,-0.05000000074505806
1658363340.4302223,16125792,-0.05000000074505806
1658364375.3754115,16276344,-0.019999999552965164
1658364489.4227247,16293072,-0.03999999910593033
1658364995.1645048,16365560,-0.009999999776482582
1658365683.1828387,16465928,-0.019999999552965164
1658365801.8211334,16482656,-0.009999999776482582
1658366071.7969458,16521688,0.0
1658366187.4104848,16538416,0.0
1658366496.0212436,16583024,-0.019999999552965164
1658366992.0187144,16655512,-0.07000000029802322
1658367378.1553702,16711272,-0.029999999329447746
1658368275.9228377,16839520,0.009999999776482582
1658368843.26157,16923160,0.009999999776482582
1658369341.1770794,16995648,-0.05000000074505806
1658370715.5377316,17196384,-0.029999999329447746
1658370753.8921592,17201960,0.0
1658371217.644788,17268872,-0.019999999552965164
1658371487.8419368,17307904,0.009999999776482582
1658371525.7758837,17313480,0.019999999552965164
1658371564.704203,17319056,0.029999999329447746
1658371791.0887513,17352512,-0.019999999552965164
1658371946.2561455,17374816,-0.009999999776482582
1658372096.382205,17397120,0.009999999776482582
1658372137.4796598,17402696,0.019999999552965164
1658372173.6536627,17408272,0.03999999910593033
1658372362.783696,17436152,-0.009999999776482582
1658372440.5706813,17447304,-0.009999999776482582
1658373092.9163628,17542096,-0.03999999910593033
1658374170.6550725,17698224,-0.019999999552965164
1658374363.2824657,17726104,0.0
1658374819.2647095,17793016,-0.029999999329447746
1658374894.978081,17804168,-0.07999999821186066
1658375158.6350188,17843200,-0.10999999940395355
1658375347.8196757,17871080,-0.05000000074505806
1658375849.3733852,17943568,0.009999999776482582
1658375963.0032568,17960296,-0.05999999865889549
1658376042.7712374,17971448,0.009999999776482582
1658376306.1323888,18010480,-0.03999999910593033
1658376772.397886,18077392,0.0
1658377729.6715176,18211216,0.019999999552965164
1658377844.6886837,18227944,-0.03999999910593033
1658378997.762571,18395224,-0.029999999329447746
1658379316.007,18439832,-0.019999999552965164
1658380632.9843879,18629416,-0.03999999910593033
1658381252.0812783,18718632,-0.019999999552965164
1658381598.0191777,18768816,0.0
1658381948.794115,18819000,-0.03999999910593033
1658382067.9816234,18835728,-0.029999999329447746
1658382148.9014983,18846880,-0.019999999552965164
1658382340.3805637,18874760,-0.019999999552965164
1658382378.3696635,18880336,-0.03999999910593033
1658382697.5344877,18924944,-0.03999999910593033
1658383120.1492662,18986280,-0.019999999552965164
1658383663.5951087,19064344,-0.029999999329447746
1658383816.6090395,19086648,0.0
1658383972.205894,19108952,-0.05000000074505806
1658384279.0599399,19153560,0.029999999329447746
1658384476.5083063,19181440,-0.019999999552965164
1658385332.0529308,19304112,-0.009999999776482582
1658385602.8795476,19343144,-0.05999999865889549
1658386207.8117242,19426784,0.009999999776482582
1658386251.7356908,19432360,-0.03999999910593033
1658386290.4333332,19437936,-0.029999999329447746
1658386534.6741092,19471392,-0.029999999329447746
1658386616.7709959,19482544,-0.019999999552965164
1658386890.8302715,19521576,-0.10000000149011612
1658387454.2340512,19599640,-0.07000000029802322
1658387907.9141495,19666552,-0.029999999329447746
1658388590.0160198,19766920,-0.009999999776482582
1658388818.9727185,19800376,-0.03999999910593033
1658389122.1896179,19844984,-0.07999999821186066
1658389423.3764875,19889592,0.009999999776482582
1658389540.4554725,19906320,-0.019999999552965164
1658389801.4835322,19945352,0.019999999552965164
1658390225.378204,20006688,-0.009999999776482582
1658390261.4780407,20012264,-0.03999999910593033
1658390717.3284183,20079176,-0.05000000074505806
1658391212.153761,20151664,0.0
1658391251.8716366,20157240,0.019999999552965164
1658391289.04055,20162816,0.0
1658391326.7499568,20168392,0.019999999552965164
1658391863.1461644,20246456,-0.07000000029802322
1658392776.2876534,20380280,-0.009999999776482582
1658392890.5935986,20397008,-0.009999999776482582
1658392967.8694162,20408160,0.019999999552965164
