Wall time,Step,Value
1657890135.7202036,27840,-0.15000000596046448
1657890584.5425959,105792,-0.28999999165534973
1657891300.0657358,228288,-0.1599999964237213
1657891530.5175102,267264,-0.18000000715255737
1657891563.5402687,272832,-0.2199999988079071
1657892024.43955,350784,-0.14000000059604645
1657892057.5257437,356352,-0.15000000596046448
1657892321.4001276,400896,-0.1599999964237213
1657892518.5811675,434304,-0.10000000149011612
1657892685.0712261,462144,-0.09000000357627869
1657892916.5748482,501120,-0.10000000149011612
1657893247.9062395,556800,-0.10999999940395355
1657893381.7517834,579072,-0.11999999731779099
1657893514.7826476,601344,-0.12999999523162842
1657893980.8231316,679296,-0.15000000596046448
1657894214.396881,718272,-0.07000000029802322
1657894281.45571,729408,-0.10000000149011612
1657894749.2810194,807360,-0.11999999731779099
1657894849.628211,824064,-0.10000000149011612
1657895181.0137072,879744,-0.12999999523162842
1657895281.5924518,896448,-0.14000000059604645
1657895347.5942338,907584,-0.10000000149011612
1657895414.2926009,918720,-0.11999999731779099
1657895677.261084,963264,-0.07999999821186066
1657896300.0767996,1069056,-0.15000000596046448
1657896687.717073,1135872,-0.019999999552965164
1657896751.8972092,1147008,-0.029999999329447746
1657897520.5998266,1280640,-0.019999999552965164
1657898002.4255865,1364160,-0.03999999910593033
1657898034.1557198,1369728,-0.05000000074505806
1657898452.0796878,1442112,-0.10000000149011612
1657898484.269214,1447680,-0.10999999940395355
1657898869.8076963,1514496,-0.05000000074505806
1657898967.0995224,1531200,-0.10000000149011612
1657899223.4848335,1575744,-0.15000000596046448
1657899320.4270349,1592448,-0.14000000059604645
1657899640.6678312,1648128,-0.10999999940395355
1657900312.595099,1765056,-0.1599999964237213
1657900409.0711422,1781760,-0.05999999865889549
1657900505.5696468,1798464,-0.05000000074505806
1657901274.0584807,1932096,-0.07999999821186066
1657901661.3674724,1998912,0.0
1657901852.3281775,2032320,-0.10999999940395355
1657901916.0763006,2043456,-0.12999999523162842
1657902299.0471358,2110272,-0.019999999552965164
1657902554.3351388,2154816,-0.07999999821186066
1657902683.569846,2177088,-0.09000000357627869
1657902747.538306,2188224,-0.09000000357627869
1657903066.8790336,2243904,-0.14000000059604645
1657903130.6936958,2255040,-0.07999999821186066
1657903481.5187757,2316288,-0.14000000059604645
1657903703.899686,2355264,-0.14000000059604645
1657904153.7164834,2433216,-0.05999999865889549
1657904185.9972827,2438784,-0.10000000149011612
1657904249.2936676,2449920,-0.14000000059604645
1657904473.081014,2488896,-0.05999999865889549
1657904953.2515724,2572416,-0.12999999523162842
1657905082.5744534,2594688,-0.07000000029802322
1657905403.3714929,2650368,-0.17000000178813934
1657905563.5556786,2678208,-0.07000000029802322
1657905596.171224,2683776,-0.07999999821186066
1657905788.2341566,2717184,-0.05000000074505806
1657906525.246449,2845248,-0.03999999910593033
1657906589.1312964,2856384,-0.10999999940395355
1657906620.670396,2861952,-0.15000000596046448
1657906652.1852145,2867520,-0.15000000596046448
1657906748.5884461,2884224,-0.10999999940395355
1657907264.284349,2973312,-0.10000000149011612
1657907359.1208885,2990016,-0.029999999329447746
1657907420.8631225,3001152,-0.07999999821186066
1657907482.0098429,3012288,-0.09000000357627869
1657907665.4999506,3045696,-0.029999999329447746
1657907847.8898811,3079104,-0.009999999776482582
1657907969.2238576,3101376,-0.09000000357627869
1657908151.5313869,3134784,-0.07999999821186066
1657908212.685902,3145920,-0.09000000357627869
1657908334.808154,3168192,-0.10000000149011612
1657909004.8587308,3290688,-0.1599999964237213
1657909127.087377,3312960,-0.14000000059604645
1657909188.9526105,3324096,-0.15000000596046448
1657910010.7667272,3474432,-0.1599999964237213
1657910163.561418,3502272,-0.07999999821186066
1657910193.8583865,3507840,-0.09000000357627869
1657910438.6430016,3552384,-0.029999999329447746
1657910621.4951673,3585792,-0.11999999731779099
1657910651.8647487,3591360,-0.14000000059604645
1657911078.5239272,3669312,-0.07000000029802322
1657911352.6028404,3719424,-0.10000000149011612
1657911598.6874871,3763968,-0.05999999865889549
1657912114.6737318,3858624,-0.10000000149011612
1657912176.6551259,3869760,-0.009999999776482582
1657912996.9420986,4020096,-0.029999999329447746
1657913119.2994783,4042368,-0.07000000029802322
1657913301.7796474,4075776,-0.10999999940395355
1657913697.1333117,4148160,-0.029999999329447746
1657914307.5320346,4259520,0.0
1657914643.2486644,4320768,-0.009999999776482582
1657914673.9778779,4326336,-0.029999999329447746
1657914856.9391105,4359744,-0.029999999329447746
1657915040.8044615,4393152,-0.07999999821186066
1657915528.2783248,4482240,-0.10000000149011612
1657915558.5372505,4487808,-0.07999999821186066
1657915619.8223732,4498944,-0.07000000029802322
1657915986.3501172,4565760,-0.09000000357627869
1657916382.9726868,4638144,-0.03999999910593033
1657917144.399131,4777344,-0.07999999821186066
1657917419.0157015,4827456,-0.009999999776482582
1657917571.817387,4855296,-0.07999999821186066
1657918028.9520433,4938816,-0.11999999731779099
1657918365.5200613,5000064,-0.10000000149011612
1657918488.6390688,5022336,-0.029999999329447746
1657919370.0633345,5183808,0.0
1657919733.1618686,5250624,-0.03999999910593033
1657919945.851882,5289600,-0.029999999329447746
1657921463.880918,5568000,0.019999999552965164
1657921557.390674,5584704,-0.03999999910593033
1657921618.7566369,5595840,-0.07999999821186066
1657921956.795161,5657088,-0.03999999910593033
1657922171.1881576,5696064,-0.05999999865889549
1657922292.5735824,5718336,0.0
1657922353.6062667,5729472,0.009999999776482582
1657922628.8179517,5779584,-0.029999999329447746
1657923210.2384133,5885376,0.0
1657923637.227101,5963328,-0.019999999552965164
1657923668.0198467,5968896,0.0
1657923728.333035,5980032,0.019999999552965164
1657923850.5238457,6002304,-0.009999999776482582
1657924127.0694315,6052416,-0.03999999910593033
1657924492.705686,6119232,0.009999999776482582
1657924614.1982048,6141504,-0.009999999776482582
1657924675.3970578,6152640,-0.07999999821186066
1657924765.7737353,6169344,-0.03999999910593033
1657924826.2414887,6180480,-0.009999999776482582
1657924886.7015698,6191616,-0.03999999910593033
1657925190.7085817,6247296,0.0
1657925311.7948868,6269568,-0.019999999552965164
1657925523.4463844,6308544,-0.09000000357627869
1657925583.9367085,6319680,-0.07999999821186066
1657925947.4657972,6386496,-0.019999999552965164
1657926098.9598236,6414336,-0.07000000029802322
1657926129.395754,6419904,-0.05000000074505806
1657926494.5553896,6486720,0.009999999776482582
1657926799.8134189,6542400,0.019999999552965164
1657926860.3487403,6553536,-0.05000000074505806
1657927105.2222254,6598080,-0.07000000029802322
1657927378.4174104,6648192,-0.10000000149011612
1657927408.554774,6653760,-0.07999999821186066
1657928025.4764135,6765120,-0.029999999329447746
1657928148.5395372,6787392,-0.03999999910593033
1657928373.0557735,6826368,0.009999999776482582
1657929021.1032457,6943296,-0.009999999776482582
1657929174.0143268,6971136,-0.05999999865889549
1657929204.5525558,6976704,-0.03999999910593033
1657929265.4762547,6987840,0.019999999552965164
1657929356.6639924,7004544,0.029999999329447746
1657929478.4108431,7026816,-0.009999999776482582
1657929662.2224472,7060224,-0.05999999865889549
1657929784.7601984,7082496,-0.009999999776482582
1657929937.3600929,7110336,-0.029999999329447746
1657930120.4664426,7143744,-0.029999999329447746
1657930609.242193,7232832,-0.009999999776482582
1657930854.3491058,7277376,-0.05000000074505806
1657931343.3223567,7366464,-0.05999999865889549
1657931435.9213219,7383168,0.009999999776482582
1657932046.7033195,7494528,-0.009999999776482582
1657932505.7815633,7578048,0.0
1657932628.7998564,7600320,0.019999999552965164
1657932964.8564625,7661568,-0.009999999776482582
1657932995.46158,7667136,0.009999999776482582
1657933118.58485,7689408,-0.05999999865889549
1657934250.0138936,7895424,0.07999999821186066
1657934894.35512,8012352,0.07999999821186066
1657934924.8346303,8017920,0.10000000149011612
1657935475.899787,8118144,0.07999999821186066
1657935506.6996458,8123712,0.10000000149011612
1657935598.8151948,8140416,0.10999999940395355
1657936006.9938672,8212800,0.09000000357627869
1657936069.9070845,8223936,0.09000000357627869
1657936426.9207084,8285184,0.10999999940395355
1657936521.766219,8301888,0.10000000149011612
1657936646.9430442,8324160,0.20999999344348907
1657936893.2244835,8368704,0.029999999329447746
1657937139.0798738,8413248,0.20000000298023224
1657937231.112564,8429952,0.12999999523162842
1657937323.66131,8446656,0.09000000357627869
1657937693.626856,8513472,0.18000000715255737
1657937999.0513113,8569152,0.14000000059604645
1657938304.03609,8624832,0.20000000298023224
1657938395.0174096,8641536,0.1899999976158142
1657938823.8576074,8719488,0.15000000596046448
1657938916.022539,8736192,0.18000000715255737
1657939070.4820604,8764032,0.18000000715255737
1657939163.3034768,8780736,0.20999999344348907
1657939440.32251,8830848,0.17000000178813934
1657939777.0238638,8892096,0.17000000178813934
1657939931.2552078,8919936,0.05000000074505806
1657939992.4850216,8931072,0.0
1657940731.1426744,9064704,0.1599999964237213
1657940975.635417,9109248,0.12999999523162842
1657941037.9928114,9120384,0.15000000596046448
1657941343.3878756,9176064,0.11999999731779099
1657941559.04083,9215040,0.17000000178813934
1657942051.0654223,9304128,0.12999999523162842
1657942325.91898,9354240,0.20999999344348907
1657942509.8304863,9387648,0.20000000298023224
1657942786.5175765,9437760,0.23000000417232513
1657943036.5658069,9482304,0.17000000178813934
1657943100.3039382,9493440,0.14000000059604645
1657943193.3859935,9510144,0.14000000059604645
1657943319.69657,9532416,0.17000000178813934
1657943542.927728,9571392,0.18000000715255737
1657943697.3319795,9599232,0.05000000074505806
1657943911.2885857,9638208,0.20000000298023224
1657944372.546975,9721728,0.10000000149011612
1657945295.9667835,9888768,0.23999999463558197
1657945357.637758,9899904,0.18000000715255737
1657945724.9247928,9966720,0.14000000059604645
1657945817.6565907,9983424,0.14000000059604645
1657946062.2755342,10027968,0.14000000059604645
1657946644.0377057,10133760,0.12999999523162842
1657947503.3930902,10289664,0.10999999940395355
1657947626.418346,10311936,0.25999999046325684
1657947901.8720944,10362048,0.14000000059604645
1657948054.2716308,10389888,0.05000000074505806
1657948115.8566296,10401024,0.15000000596046448
1657948760.0490386,10517952,0.15000000596046448
1657949096.7368867,10579200,0.07999999821186066
1657949189.1914897,10595904,0.14000000059604645
1657949373.549684,10629312,0.2199999988079071
1657949404.1782482,10634880,0.23999999463558197
1657949861.9197962,10718400,0.1599999964237213
1657949893.1579459,10723968,0.15000000596046448
1657950230.6765594,10785216,0.1899999976158142
1657950353.1281257,10807488,0.20000000298023224
1657950507.3068457,10835328,0.14000000059604645
1657950568.5315075,10846464,0.12999999523162842
1657950966.6123013,10918848,0.18000000715255737
1657950997.6297662,10924416,0.17000000178813934
1657951089.9590514,10941120,0.09000000357627869
1657951151.0370727,10952256,0.12999999523162842
1657951489.13991,11013504,0.10999999940395355
1657951550.025552,11024640,0.05999999865889549
1657951798.1061125,11069184,0.10999999940395355
1657951828.5672305,11074752,0.14000000059604645
1657954350.0897295,11531328,0.25999999046325684
1657954627.5780487,11581440,0.20000000298023224
1657954935.3160176,11637120,0.20999999344348907
1657955274.2250798,11698368,0.20000000298023224
1657955551.2483633,11748480,0.1899999976158142
1657955706.180834,11776320,0.23999999463558197
1657955736.2885122,11781888,0.23999999463558197
1657955859.687334,11804160,0.12999999523162842
1657955890.3066645,11809728,0.23000000417232513
1657956105.9563663,11848704,0.15000000596046448
1657956476.9031413,11915520,0.10999999940395355
1657957402.7207656,12082560,0.25999999046325684
1657958174.5136635,12221760,0.23000000417232513
1657958638.9476988,12305280,0.28999999165534973
1657958823.9640067,12338688,0.25
1657959131.6749117,12394368,0.3199999928474426
1657959563.440625,12472320,0.23000000417232513
1657959718.0479805,12500160,0.23000000417232513
1657960118.1362224,12572544,0.25
1657960857.2426772,12706176,0.20999999344348907
