Wall time,Step,Value
1636734669.2994206,27900,-0.3163265287876129
1636734926.982974,106020,-0.23999999463558197
1636735334.2352645,228780,-0.17000000178813934
1636735464.0822806,267840,-0.23000000417232513
1636735482.4576097,273420,-0.23999999463558197
1636735742.9913874,351540,-0.20000000298023224
1636735761.4563823,357120,-0.23999999463558197
1636735909.9304013,401760,-0.27000001072883606
1636736022.340784,435240,-0.2199999988079071
1636736114.763648,463140,-0.14000000059604645
1636736244.878168,502200,-0.15000000596046448
1636736431.993806,558000,-0.20999999344348907
1636736506.0512202,580320,-0.07999999821186066
1636736581.390181,602640,-0.2199999988079071
1636736843.2383974,680760,-0.23999999463558197
1636736974.3477407,719820,-0.17000000178813934
1636737011.1282315,730980,-0.1899999976158142
1636737272.1275039,809100,-0.17000000178813934
1636737327.9245777,825840,-0.2199999988079071
1636737515.043065,881640,-0.12999999523162842
1636737571.6280973,898380,-0.17000000178813934
1636737608.9392443,909540,-0.20000000298023224
1636737646.2877617,920700,-0.1899999976158142
1636737796.1209614,965340,-0.10000000149011612
1636738150.8752875,1071360,-0.07999999821186066
1636738376.178108,1138320,-0.25
1636738413.6469524,1149480,-0.2199999988079071
1636738863.8291008,1283400,-0.1899999976158142
1636739142.5831895,1367100,-0.23999999463558197
1636739161.5051286,1372680,-0.23999999463558197
1636739404.8334591,1445220,-0.18000000715255737
1636739423.093848,1450800,-0.14000000059604645
1636739647.0476582,1517760,-0.15000000596046448
1636739703.203637,1534500,-0.14000000059604645
1636739852.8077729,1579140,-0.05000000074505806
1636739908.709922,1595880,-0.05000000074505806
1636740096.3914278,1651680,-0.09000000357627869
1636740490.5779748,1768860,-0.10999999940395355
1636740547.2345676,1785600,-0.09000000357627869
1636740603.4264894,1802340,-0.1899999976158142
1636741053.389796,1936260,-0.05999999865889549
1636741278.3278341,2003220,-0.029999999329447746
1636741390.745792,2036700,-0.07999999821186066
1636741428.216807,2047860,-0.07999999821186066
1636741653.9423423,2114820,-0.07999999821186066
1636741803.4551315,2159460,-0.10999999940395355
1636741879.0224705,2181780,-0.05999999865889549
1636741916.254028,2192940,-0.09000000357627869
1636742103.4651964,2248740,-0.07999999821186066
1636742141.0210156,2259900,-0.10999999940395355
1636742347.9636962,2321280,-0.11999999731779099
1636742479.388484,2360340,-0.07999999821186066
1636742741.0559611,2438460,-0.10999999940395355
1636742759.8780494,2444040,-0.07000000029802322
1636742797.404161,2455200,-0.07000000029802322
1636742929.6230254,2494260,-0.019999999552965164
1636743211.3629737,2577960,-0.05000000074505806
1636743286.1142933,2600280,-0.07000000029802322
1636743454.9978642,2650500,-0.07000000029802322
1636743473.5962377,2656080,-0.10000000149011612
1636743567.846942,2683980,-0.03999999910593033
1636743587.278853,2689560,-0.05000000074505806
1636743699.9539316,2723040,-0.019999999552965164
1636744131.753181,2851380,-0.029999999329447746
1636744169.2621033,2862540,-0.03999999910593033
1636744188.0022273,2868120,-0.05000000074505806
1636744207.0819802,2873700,-0.05999999865889549
1636744263.6314907,2890440,-0.05999999865889549
1636744564.8178785,2979720,-0.019999999552965164
1636744621.1725378,2996460,-0.10000000149011612
1636744658.911225,3007620,-0.05000000074505806
1636744696.6247191,3018780,-0.009999999776482582
1636744810.1255245,3052260,-0.029999999329447746
1636744922.2046103,3085740,-0.03999999910593033
1636744997.45528,3108060,-0.019999999552965164
1636745110.065294,3141540,0.009999999776482582
1636745147.5410116,3152700,0.05999999865889549
1636745223.0596933,3175020,0.019999999552965164
1636745636.4525664,3297780,-0.03999999910593033
1636745711.638873,3320100,-0.019999999552965164
1636745748.788272,3331260,-0.029999999329447746
1636746257.4367754,3481920,0.0
1636746351.0660303,3509820,-0.05000000074505806
1636746369.985303,3515400,-0.07999999821186066
1636746520.3402083,3560040,-0.03999999910593033
1636746633.5906255,3593520,-0.019999999552965164
1636746652.0817454,3599100,-0.05000000074505806
1636746916.154851,3677220,-0.03999999910593033
1636747085.808126,3727440,-0.03999999910593033
1636747237.09035,3772080,-0.009999999776482582
1636747556.1144304,3866940,-0.09000000357627869
1636747594.0342395,3878100,-0.14000000059604645
